SYMBOL,TOTTRDQTY,TIMESTAMP
OIL,1388644,17-Apr-20
ONGC,14565447,17-Apr-20
PAGEIND,38725,17-Apr-20
PEL,3221712,17-Apr-20
PETRONET,5009748,17-Apr-20
PFC,11222829,17-Apr-20
PIDILITIND,761950,17-Apr-20
PNB,28208948,17-Apr-20
POWERGRID,10426696,17-Apr-20
PVR,2215826,17-Apr-20
RAMCOCEM,1040269,17-Apr-20
RBLBANK,35282039,17-Apr-20
RECLTD,9916819,17-Apr-20
RELIANCE,15209707,17-Apr-20
SAIL,33557532,17-Apr-20
SBIN,89858053,17-Apr-20
SHREECEM,74780,17-Apr-20
SIEMENS,390125,17-Apr-20
SRF,322558,17-Apr-20
SRTRANSFIN,4459547,17-Apr-20
SUNPHARMA,19774595,17-Apr-20
SUNTV,1601043,17-Apr-20
TATACHEM,2680851,17-Apr-20
TATACONSUM,4845929,17-Apr-20
TATAMOTORS,58336227,17-Apr-20
TATAPOWER,11838672,17-Apr-20
TATASTEEL,17492884,17-Apr-20
TCS,9895825,17-Apr-20
TECHM,10839905,17-Apr-20
TITAN,5761685,17-Apr-20
TORNTPHARM,1219315,17-Apr-20
TORNTPOWER,2515170,17-Apr-20
TVSMOTOR,9091683,17-Apr-20
UBL,472370,17-Apr-20
UJJIVAN,10563756,17-Apr-20
ULTRACEMCO,775287,17-Apr-20
UPL,5328293,17-Apr-20
VEDL,30176554,17-Apr-20
VOLTAS,3034515,17-Apr-20
WIPRO,6606453,17-Apr-20
YESBANK,26605391,17-Apr-20
ZEEL,15287491,17-Apr-20
ACC,1951458,20-Apr-20
ADANIENT,6835268,20-Apr-20
ADANIPORTS,2234365,20-Apr-20
ADANIPOWER,33451999,20-Apr-20
AMARAJABAT,894184,20-Apr-20
AMBUJACEM,2682037,20-Apr-20
APOLLOHOSP,1860261,20-Apr-20
APOLLOTYRE,7370479,20-Apr-20
ASHOKLEY,38050519,20-Apr-20
ASIANPAINT,1431055,20-Apr-20
AUROPHARMA,7893459,20-Apr-20
AXISBANK,42163860,20-Apr-20
BAJAJ-AUTO,427669,20-Apr-20
BAJAJFINSV,903157,20-Apr-20
BAJFINANCE,5403325,20-Apr-20
BALKRISIND,631573,20-Apr-20
BANDHANBNK,21748571,20-Apr-20
BANKBARODA,47815278,20-Apr-20
BATAINDIA,790595,20-Apr-20
BEL,34849649,20-Apr-20
BERGEPAINT,778657,20-Apr-20
BHARATFORG,6400830,20-Apr-20
BHARTIARTL,11473202,20-Apr-20
BHEL,53220501,20-Apr-20
BIOCON,9125641,20-Apr-20
BOSCHLTD,35034,20-Apr-20
BPCL,6210492,20-Apr-20
BRITANNIA,667917,20-Apr-20
CADILAHC,9732675,20-Apr-20
CANBK,23385044,20-Apr-20
CENTURYTEX,1897215,20-Apr-20
CESC,2361623,20-Apr-20
CHOLAFIN,10790371,20-Apr-20
CIPLA,5856240,20-Apr-20
COALINDIA,7139690,20-Apr-20
COLPAL,449739,20-Apr-20
CONCOR,1953902,20-Apr-20
CUMMINSIND,1361181,20-Apr-20
DABUR,3234062,20-Apr-20
DIVISLAB,817776,20-Apr-20
DLF,18161265,20-Apr-20
